Date;Open;High;Low;Close;Volume
2024.11.05 13:30;2740.92;2742.48;2740;2740.34;910
2024.11.05 13:45;2740.34;2743;2739.31;2741.71;989
2024.11.05 14:00;2741.78;2743.15;2741.41;2742.16;949
2024.11.05 14:15;2742.12;2742.57;2740.03;2740.29;915
2024.11.05 14:30;2740.29;2740.7;2739.11;2739.75;916
2024.11.05 14:45;2739.72;2740.49;2737.61;2737.92;978
2024.11.05 15:00;2738.05;2738.9;2737.01;2738.57;842
2024.11.05 15:15;2738.66;2742.01;2736.34;2741.91;1306
2024.11.05 15:30;2742.13;2744.53;2741.32;2744.48;1337
2024.11.05 15:45;2744.46;2746.74;2743.55;2744.8;1371
2024.11.05 16:00;2744.71;2746.81;2743.24;2744.27;1307
2024.11.05 16:15;2744.26;2747.72;2743.49;2747.69;1298
2024.11.05 16:30;2747.77;2749.88;2744.24;2745.23;1512
2024.11.05 16:45;2745.06;2746.93;2741.54;2746.33;1434
2024.11.05 17:00;2742.69;2745.4;2736.66;2737.86;1626
2024.11.05 17:15;2737.95;2738.49;2733.44;2734.03;1572
2024.11.05 17:30;2734.05;2738.7;2732.99;2738.09;1462
2024.11.05 17:45;2738.14;2742.24;2737.36;2742.07;1443
2024.11.05 18:00;2742.06;2744.5;2741.1;2742.1;1341
2024.11.05 18:15;2742.03;2742.07;2737.78;2737.99;1286
2024.11.05 18:30;2738.09;2738.81;2736.39;2738.02;1213
2024.11.05 18:45;2738.04;2741.23;2737.9;2738.93;1103
2024.11.05 19:00;2739.19;2741.97;2738.24;2741.79;989
2024.11.05 19:15;2741.81;2743.62;2741.77;2743.27;1036
2024.11.05 19:30;2743.22;2743.59;2740.8;2741.73;965
2024.11.05 19:45;2741.75;2742.89;2741.51;2741.99;915
2024.11.05 20:00;2741.99;2743.88;2741.13;2741.89;1006
2024.11.05 20:15;2741.94;2742.05;2739.61;2740.5;1104
2024.11.05 20:30;2740.58;2741.29;2739.34;2741.12;899
2024.11.05 20:45;2741.12;2741.96;2740.79;2741.23;864
2024.11.05 21:00;2741.23;2741.54;2739.53;2740.3;861
2024.11.05 21:15;2740.18;2742.22;2739.97;2740.61;766
2024.11.05 21:30;2740.79;2742.28;2740.07;2742.09;655
2024.11.05 21:45;2742.18;2742.26;2740.15;2740.47;784
2024.11.05 22:00;2740.36;2741.96;2739.65;2741.62;681
2024.11.05 22:15;2741.61;2741.87;2740.93;2741.61;550
2024.11.05 22:30;2741.59;2741.83;2740.48;2740.85;534
2024.11.05 22:45;2740.95;2743.51;2740.34;2743.03;804
2024.11.05 23:00;2743.14;2743.75;2742.57;2743.54;319
2024.11.05 23:15;2743.62;2744.9;2743.38;2744.63;326
2024.11.05 23:30;2744.65;2744.96;2744.14;2744.29;320
2024.11.05 23:45;2744.36;2744.36;2743.46;2743.72;398
2024.11.06 01:00;2743.32;2744.09;2741.99;2743.38;473
2024.11.06 01:15;2743.38;2743.91;2742.68;2743.77;391
2024.11.06 01:30;2743.77;2745;2742.94;2744.89;505
2024.11.06 01:45;2744.93;2746.42;2744.46;2745.71;680
2024.11.06 02:00;2745.7;2745.72;2741.88;2742.76;974
2024.11.06 02:15;2742.74;2743.58;2735.34;2737.45;1292
2024.11.06 02:30;2737.41;2740.13;2736.52;2739.37;1327
2024.11.06 02:45;2738.81;2740.18;2737.06;2737.99;1198
2024.11.06 03:00;2738.51;2738.76;2732.64;2738.76;1599
2024.11.06 03:15;2738.84;2742.62;2738.27;2741.13;1482
2024.11.06 03:30;2741.16;2748.3;2740.29;2747.81;1523
2024.11.06 03:45;2747.81;2749.69;2744.85;2747.09;1541
2024.11.06 04:00;2746.88;2748.39;2742.75;2743.94;1564
2024.11.06 04:15;2743.95;2748.25;2743.56;2746.32;1474
2024.11.06 04:30;2745.73;2745.73;2739.13;2741.41;1630
2024.11.06 04:45;2741.39;2745.03;2736.71;2737.49;1562
2024.11.06 05:00;2737.52;2741.17;2735.37;2739.68;1589
2024.11.06 05:15;2739.8;2743.5;2730.69;2731.44;1550
2024.11.06 05:30;2731.32;2738.22;2730.71;2734.88;1479
2024.11.06 05:45;2734.7;2735.55;2733.01;2734.12;1452
2024.11.06 06:00;2734.12;2738.71;2733.39;2738.7;1352
2024.11.06 06:15;2738.71;2739.16;2736.05;2736.25;1259
2024.11.06 06:30;2736.12;2741.15;2736.11;2739.83;1189
2024.11.06 06:45;2739.83;2742.96;2739.76;2741.82;1328
2024.11.06 07:00;2741.99;2743.65;2738.25;2739.03;1404
2024.11.06 07:15;2739.02;2742.55;2739.02;2739.58;1331
2024.11.06 07:30;2739.62;2740.48;2736.4;2739.73;1536
2024.11.06 07:45;2739.67;2741.35;2738.5;2739.05;1417
2024.11.06 08:00;2738.79;2739.33;2731.45;2732.57;1438
2024.11.06 08:15;2732.67;2735.72;2715.53;2717.38;1575
2024.11.06 08:30;2717.4;2720.76;2701.5;2704.22;1733
2024.11.06 08:45;2704.23;2715.26;2704.03;2706.84;1634
2024.11.06 09:00;2707.01;2722.35;2704.19;2722.08;1536
2024.11.06 09:15;2722.08;2733.16;2720.27;2725.71;1515
2024.11.06 09:30;2725.58;2728.83;2719.67;2720.81;1448
2024.11.06 09:45;2720.82;2728.17;2720.69;2725.89;1530
2024.11.06 10:00;2725.56;2727.94;2723.18;2726.2;1485
2024.11.06 10:15;2726.18;2733.67;2725.79;2729.28;1497
2024.11.06 10:30;2729.27;2730.66;2726.36;2729.73;1366
2024.11.06 10:45;2729.83;2730.89;2722.82;2724.51;1384
2024.11.06 11:00;2724.48;2728.5;2721.57;2726.25;1396
2024.11.06 11:15;2726.22;2726.24;2719.3;2722.36;1217
2024.11.06 11:30;2722.21;2722.45;2716.45;2717.89;1187
2024.11.06 11:45;2717.96;2726.09;2716.77;2724.65;1188
2024.11.06 12:00;2724.53;2726.69;2722.21;2723.53;1105
2024.11.06 12:15;2723.51;2727.06;2722.17;2725.12;1152
2024.11.06 12:30;2725.33;2727.12;2722.02;2722.4;1160
2024.11.06 12:45;2722.35;2722.5;2718.7;2720.25;1070
2024.11.06 13:00;2720.22;2722.72;2719.98;2721.08;1081
2024.11.06 13:15;2721.08;2721.37;2711.06;2711.07;1281
2024.11.06 13:30;2711.02;2712.71;2704.41;2707.15;1452
2024.11.06 13:45;2707.13;2708.08;2696.27;2699.39;1502
2024.11.06 14:00;2698.46;2707.59;2698.46;2707.32;1377
2024.11.06 14:15;2707.24;2707.99;2698.7;2700.16;1418
2024.11.06 14:30;2700.44;2703.13;2693.44;2700.56;1508
2024.11.06 14:45;2699.94;2700.99;2695.14;2695.14;1302
2024.11.06 15:00;2694.81;2694.81;2681.31;2682.42;1721
2024.11.06 15:15;2682.33;2683.48;2675.75;2676.43;1672
2024.11.06 15:30;2675.89;2676.51;2659.14;2661.06;1714
2024.11.06 15:45;2660.97;2667.29;2660.47;2664.12;1635
2024.11.06 16:00;2663.89;2670.36;2657.05;2669.52;1650
2024.11.06 16:15;2669.61;2670.29;2659.61;2659.61;1552
2024.11.06 16:30;2659.47;2659.96;2652.44;2659.13;1694
2024.11.06 16:45;2659.08;2662.42;2652.56;2659.81;1692
2024.11.06 17:00;2659.83;2665.96;2657.47;2664.95;1666
2024.11.06 17:15;2665.17;2668.62;2661.73;2668.3;1629
2024.11.06 17:30;2668.24;2674.01;2666.9;2671.12;1638
2024.11.06 17:45;2671.45;2675.89;2671.2;2675.77;1574
2024.11.06 18:00;2675.93;2678.18;2667.56;2668.78;1557
2024.11.06 18:15;2668.75;2668.84;2662.95;2668.01;1549
2024.11.06 18:30;2668.02;2670.41;2665.29;2665.72;1358
2024.11.06 18:45;2665.74;2668.14;2665.46;2666.19;1311
2024.11.06 19:00;2666.2;2669.13;2664.5;2668.5;1275
2024.11.06 19:15;2668.58;2669.23;2666.25;2666.85;1278
2024.11.06 19:30;2666.81;2667.63;2664.18;2664.62;1175
2024.11.06 19:45;2664.74;2665.03;2661.54;2663.24;1224
2024.11.06 20:00;2663.35;2667.4;2662.83;2666.52;1370
